@relation data-server

@attribute SIZE numeric
@attribute HOUR numeric
@attribute MBS numeric 

@data

4930,22,1258.84
374,22,1235.71
2977,22,1104.613
954,22,1151.157
870,22,1123.648
855,22,812.596
965,22,616.596
982,22,609.659
694,22,760.012
995,22,1109.235
49443,22,918.204
945,22,916.051
966,22,1107.751
915,22,833.557
1139,22,814.373
1991,22,1283.605
201,22,1198.795
413,22,1194.299
976,22,1319.567
43,22,664.392
1065,22,603.485
1266,22,585.22
352,22,607.32
1348,22,1184.663
4930,22,865.759
7694,22,606.426
1218,22,1013.862
1610,22,960.098
2240,22,1254.765
286,22,1312.706
4809,22,537.742
348,22,485.553
4930,22,682.798
3305,22,1048.237
4930,22,618.523
298,22,1046.343
746,22,747.026
106,22,922.974
4406,22,726.876
90,22,981.646
4930,22,535.898
305,22,962.13
4930,22,785.258
929,22,1032.266
90,22,1323.894
952,22,990.015
82,22,1346.954
326,22,1258.963
89,22,964.843
90,22,988.895
241,22,663.528
872,22,751.32
4930,22,1002.687
557,22,1222.319
1020,22,1166.88
464,22,797.558
606,22,1146.958
1342,22,475.37
1316,22,705.266
949,22,742.006
428,22,930.015
1433,22,1216.572
482,22,706.828
283,22,1284.719
1170,22,1345.56
4930,22,1307.032
852,22,1006.195
428,22,807.501
472,22,707.093
428,22,878.446
363,22,1090.188
4930,22,1006.494
360,22,577.001
4930,22,1121.154
4930,22,1314.875
14896,22,1291.334
4930,22,652.71
4930,22,1209.277
42,22,848.315
348,22,679.874
348,22,626.107
2122,22,1097.374
988,22,1141.199
4930,22,1185.95
4930,22,1136.012
4930,22,714.382
4930,22,1227.579
4930,22,780.033
4930,22,989.346
4930,22,1211.2
4930,22,1293.58
4930,22,773.249
4930,22,1179.29
4930,22,1275.734
892,22,694.566
4930,22,716.671
374,22,906.322
929,22,1177.975
1504,22,1267.225
12646,22,1223.323
2838,22,598.287
0,22,1043.312
0,22,756.927
243,22,556.88
2838,22,1205.889
0,22,909.109
0,22,1166.718
0,22,936.527
8389,22,1238.167
994,22,1050.955
352,22,1234.339
49673,22,921.508
43,22,651.82
4406,22,1287.797
201,22,742.889
7305,22,1331.94
3867,22,1298.012
4733,22,1023.128
43,22,797.056
776,22,1076.577
5840,22,1052.102
1618,22,1048.37
106,22,618.501
90,22,942.495
305,22,1262.499
853,22,579.198
43,22,740.355
43,22,1179.811
43,22,493.338
2240,22,1193.982
870,22,1307.185
1378,22,1212.939
1500,22,1006.766
90,22,1175.973
2082,22,819.602
1273,22,1269.854
937,22,1305.806
4930,22,1249.779
286,22,958.248
0,22,1155.772
0,22,600.146
2838,22,1039.916
0,22,1251.838
0,22,823.27
2240,22,1157.275
0,22,536.907
45260,22,496.405
4930,22,1307.967
243,22,726.957
0,22,708.051
326,22,567.396
694,22,963.913
1272,22,637.3
4930,22,1161.716
43,22,574.706
1306,22,835.996
3394,22,1047.291
4930,22,1062.562
43,22,1062.159
852,22,1315.937
1308,22,1337.351
889,22,798.564
4930,22,831.422
4930,22,1300.253
363,22,1036.412
90,22,915.855
90,22,1174.901
4930,22,883.829
4930,22,765.287
4930,22,875.889
2838,22,817.461
5840,22,1092.381
994,22,909.229
8389,22,571.154
929,22,599.292
4930,22,570.393
1991,22,670.233
1005,22,1063.701
374,22,803.76
892,22,870.636
4930,22,525.618
12646,22,861.008
853,22,1182.911
4930,22,927.491
243,22,1078.616
828,22,860.176
776,22,1101.594
1504,22,828.647
416,22,526.285
1065,22,811.185
914,22,845.536
1378,22,729.272
352,22,700.64
914,22,572.595
2240,22,1176.399
4733,22,571.697
